"Name","webname","first_name","last_name","job_title","job_title2","short_job_title","first_last_name","job_title_az"
"BOURMPAKI, Elli","e.bourmpaki","Elli","BOURMPAKI","Clinical Trials Statistician",NA,"Miss","elli bourmpaki","Clinical Trials Statistician"
"MORALES CLARO, Ingra","i.claro","Ingra","MORALES CLARO",NA,NA,NA,"ingra morales claro",NA
"SY, Aminata","a.sy","Aminata","SY",NA,NA,NA,"aminata sy",NA
"DA SILVA CANDIDO, Darlan","d.da-silva-candido","Darlan","DA SILVA CANDIDO","Research Associate","Dr Darlan Candido",NA,"darlan da silva candido",NA
"MORGENSTERN, Christian","c.morgenstern","Christian","MORGENSTERN","Research Assistant",NA,"Mr","christian morgenstern","Research Assistant"
"AHMADI, Keivan","k.ahmadi","Keivan","AHMADI","Advanced Research Fellow",NA,"Dr","keivan ahmadi","Advanced Research Fellow"
"ARIF, Abeer M","a.arif","Abeer","ARIF","Project Manager in Epidemiology and Population Health ","Ms Abeer Arif",NA,"abeer arif","Project Manager in Epidemiology and Population Health"
"WRIGHT, Annie E","annie.wright","Annie","WRIGHT","Clinical Trials Statistician",NA,"Miss","annie wright",NA
"MCCAIN, Kelly","k.mccain22","Kelly","MCCAIN","Research Postgraduate","Kelly McCain",NA,"kelly mccain",NA
"PAINTER, Annabelle","a.painter22","Annabelle","PAINTER",NA,NA,NA,"annabelle painter","Honorary GP Teaching Fellow"
"CHEN, Gang","gang.chen","Gang","CHEN","Research Associate","Dr. Gang Chen",NA,"gang chen","Research Associate"
"RAMANATHAN, Agalya","a.ramanathan","Agalya","RAMANATHAN",NA,NA,NA,"agalya ramanathan",NA
"OLUM, Ronald","ronald.olum22","Ronald","OLUM","Taught Postgraduate",NA,"Dr","ronald olum",NA
"RUYBAL-PESANTEZ, Shazia N","s.ruybal","Shazia","RUYBAL-PESANTEZ","Research Associate","Dr Shazia Ruybal-Pesántez",NA,"shazia ruybal-pesantez",NA
